company,newsroom_page,tag,link,base
Exxon Mobil,21,a,/News/Newsroom/News-releases/2019/0516_ExxonMobil-and-employees-donate-more-than-1_1M-to-Illinois-colleges-and-universities,https://corporate.exxonmobil.com
Exxon Mobil,21,a,/News/Newsroom/News-releases/2019/0516_ExxonMobil-and-employees-donate-1_1M-to-New-Jersey-colleges-and-universities,https://corporate.exxonmobil.com
Exxon Mobil,22,a,/News/Newsroom/News-releases/2019/0515_ExxonMobil-and-employees-donate-more-than-1_5M-to-OK-colleges-and-universities,https://corporate.exxonmobil.com
Exxon Mobil,22,a,/News/Newsroom/News-releases/2019/0515_ExxonMobil-and-employees-donate-nearly-2_4M-to-Texas-colleges-and-universities,https://corporate.exxonmobil.com
Exxon Mobil,22,a,/News/Newsroom/News-releases/2019/0515_ExxonMobil-and-employees-donate-nearly-13M-to-Texas-colleges-and-universities,https://corporate.exxonmobil.com
Exxon Mobil,22,a,/News/Newsroom/News-releases/2019/0514_Rovuma-LNG-development-plan-approved-by-Mozambique-government,https://corporate.exxonmobil.com
Exxon Mobil,22,a,/News/Newsroom/News-releases/2019/0514_ExxonMobil-employees-and-retirees-donate-more-than-50-million--to-US-colleges-and-universities,https://corporate.exxonmobil.com
Exxon Mobil,23,a,/News/Newsroom/News-releases/2019/0513_ExxonMobil-doubles-manufacturing-capacity-of-specialty-elastomers-at-newport-wales-plant,https://corporate.exxonmobil.com
Exxon Mobil,23,a,/News/Newsroom/News-releases/2019/0508_ExxonMobil-to-invest-up-to-100M-on-lower-emissions-RandD-with-US-National-Labs,https://corporate.exxonmobil.com
Exxon Mobil,23,a,/News/Newsroom/News-releases/2019/0506_ExxonMobil-provides-100000-to-support-relief-efforts-in-MZ-following-Cyclone-Kenneth,https://corporate.exxonmobil.com
Exxon Mobil,23,a,/News/Newsroom/News-releases/2019/0503_ExxonMobil-to-proceed-With-Liza-Phase-2-development-offshore-Guyana,https://corporate.exxonmobil.com
Exxon Mobil,23,a,/News/Newsroom/News-releases/2019/0502_ExxonMobil-Announces-2-Billion-Baytown-Chemical-expansion-project,https://corporate.exxonmobil.com
Exxon Mobil,24,a,/News/Newsroom/News-releases/2019/0426_ExxonMobil-earns-2_4-billion-in-first-quarter-2019,https://corporate.exxonmobil.com
Exxon Mobil,24,a,/News/Newsroom/News-releases/2019/0425_ExxonMobil-continues-support-for-fight-against-malaria,https://corporate.exxonmobil.com
Exxon Mobil,24,a,/News/Newsroom/News-releases/2019/0424_Exxon-Mobil-Corporation-declares-second-quarter-dividend,https://corporate.exxonmobil.com
Exxon Mobil,24,a,/News/Newsroom/News-releases/2019/0424_ExxonMobil-acquires-more-exploration-acreage-offshore-Namibia,https://corporate.exxonmobil.com
Exxon Mobil,24,a,/News/Newsroom/News-releases/2019/0424_ExxonMobil-to-expand-ultra-low-sulfur-diesel-production-at-Fawley-Refinery,https://corporate.exxonmobil.com
Exxon Mobil,25,a,/News/Newsroom/News-releases/2019/0422_ExxonMobil-signs-20-year-LNG-agreement-with-Zhejiang-Energy,https://corporate.exxonmobil.com
Exxon Mobil,25,a,/News/Newsroom/News-releases/2019/0418_ExxonMobil-announces-13th-discovery-offshore-Guyana,https://corporate.exxonmobil.com
Exxon Mobil,25,a,/News/Newsroom/News-releases/2019/0416_ExxonMobil-wins-three-blocks-in-Argentina-offshore-bid-round,https://corporate.exxonmobil.com
Exxon Mobil,25,a,/News/Newsroom/News-releases/2019/0402_ExxonMobil-Invests-in-Singapore-Integrated-Complex-to-Upgrade-Product-Slate,https://corporate.exxonmobil.com
Exxon Mobil,25,a,/News/Newsroom/News-releases/2019/0319_ExxonMobil-provides-to-support-relief-efforts-in-Mozambique-following-Cyclone-Idai,https://corporate.exxonmobil.com
Exxon Mobil,26,a,/News/Newsroom/News-releases/2019/0308_ExxonMobil-Grants-to-Support-Women-Entrepreneurs-and-She-Counts-Program,https://corporate.exxonmobil.com
